DecoderInput_0.Value,DecoderInput_1.Value,DecoderInput_2.Value,DecoderInput_3.Value,DecoderInput_4.Value,DecoderInput_5.Value,DecoderInput_6.Value,DecoderInput_7.Value,DecoderNOTInput_0.Value,DecoderNOTInput_1.Value,DecoderNOTInput_2.Value,DecoderNOTInput_3.Value,DecoderNOTInput_4.Value,DecoderNOTInput_5.Value,DecoderNOTInput_6.Value,DecoderNOTInput_7.Value,DecoderOutput_0.Value,DecoderOutput_1.Value,DecoderOutput_10.Value,DecoderOutput_100.Value,DecoderOutput_101.Value,DecoderOutput_102.Value,DecoderOutput_103.Value,DecoderOutput_104.Value,DecoderOutput_105.Value,DecoderOutput_106.Value,DecoderOutput_107.Value,DecoderOutput_108.Value,DecoderOutput_109.Value,DecoderOutput_11.Value,DecoderOutput_110.Value,DecoderOutput_111.Value,DecoderOutput_112.Value,DecoderOutput_113.Value,DecoderOutput_114.Value,DecoderOutput_115.Value,DecoderOutput_116.Value,DecoderOutput_117.Value,DecoderOutput_118.Value,DecoderOutput_119.Value,DecoderOutput_12.Value,DecoderOutput_120.Value,DecoderOutput_121.Value,DecoderOutput_122.Value,DecoderOutput_123.Value,DecoderOutput_124.Value,DecoderOutput_125.Value,DecoderOutput_126.Value,DecoderOutput_127.Value,DecoderOutput_128.Value,DecoderOutput_129.Value,DecoderOutput_13.Value,DecoderOutput_130.Value,DecoderOutput_131.Value,DecoderOutput_132.Value,DecoderOutput_133.Value,DecoderOutput_134.Value,DecoderOutput_135.Value,DecoderOutput_136.Value,DecoderOutput_137.Value,DecoderOutput_138.Value,DecoderOutput_139.Value,DecoderOutput_14.Value,DecoderOutput_140.Value,DecoderOutput_141.Value,DecoderOutput_142.Value,DecoderOutput_143.Value,DecoderOutput_144.Value,DecoderOutput_145.Value,DecoderOutput_146.Value,DecoderOutput_147.Value,DecoderOutput_148.Value,DecoderOutput_149.Value,DecoderOutput_15.Value,DecoderOutput_150.Value,DecoderOutput_151.Value,DecoderOutput_152.Value,DecoderOutput_153.Value,DecoderOutput_154.Value,DecoderOutput_155.Value,DecoderOutput_156.Value,DecoderOutput_157.Value,DecoderOutput_158.Value,DecoderOutput_159.Value,DecoderOutput_16.Value,DecoderOutput_160.Value,DecoderOutput_161.Value,DecoderOutput_162.Value,DecoderOutput_163.Value,DecoderOutput_164.Value,DecoderOutput_165.Value,DecoderOutput_166.Value,DecoderOutput_167.Value,DecoderOutput_168.Value,DecoderOutput_169.Value,DecoderOutput_17.Value,DecoderOutput_170.Value,DecoderOutput_171.Value,DecoderOutput_172.Value,DecoderOutput_173.Value,DecoderOutput_174.Value,DecoderOutput_175.Value,DecoderOutput_176.Value,DecoderOutput_177.Value,DecoderOutput_178.Value,DecoderOutput_179.Value,DecoderOutput_18.Value,DecoderOutput_180.Value,DecoderOutput_181.Value,DecoderOutput_182.Value,DecoderOutput_183.Value,DecoderOutput_184.Value,DecoderOutput_185.Value,DecoderOutput_186.Value,DecoderOutput_187.Value,DecoderOutput_188.Value,DecoderOutput_189.Value,DecoderOutput_19.Value,DecoderOutput_190.Value,DecoderOutput_191.Value,DecoderOutput_192.Value,DecoderOutput_193.Value,DecoderOutput_194.Value,DecoderOutput_195.Value,DecoderOutput_196.Value,DecoderOutput_197.Value,DecoderOutput_198.Value,DecoderOutput_199.Value,DecoderOutput_2.Value,DecoderOutput_20.Value,DecoderOutput_200.Value,DecoderOutput_201.Value,DecoderOutput_202.Value,DecoderOutput_203.Value,DecoderOutput_204.Value,DecoderOutput_205.Value,DecoderOutput_206.Value,DecoderOutput_207.Value,DecoderOutput_208.Value,DecoderOutput_209.Value,DecoderOutput_21.Value,DecoderOutput_210.Value,DecoderOutput_211.Value,DecoderOutput_212.Value,DecoderOutput_213.Value,DecoderOutput_214.Value,DecoderOutput_215.Value,DecoderOutput_216.Value,DecoderOutput_217.Value,DecoderOutput_218.Value,DecoderOutput_219.Value,DecoderOutput_22.Value,DecoderOutput_220.Value,DecoderOutput_221.Value,DecoderOutput_222.Value,DecoderOutput_223.Value,DecoderOutput_224.Value,DecoderOutput_225.Value,DecoderOutput_226.Value,DecoderOutput_227.Value,DecoderOutput_228.Value,DecoderOutput_229.Value,DecoderOutput_23.Value,DecoderOutput_230.Value,DecoderOutput_231.Value,DecoderOutput_232.Value,DecoderOutput_233.Value,DecoderOutput_234.Value,DecoderOutput_235.Value,DecoderOutput_236.Value,DecoderOutput_237.Value,DecoderOutput_238.Value,DecoderOutput_239.Value,DecoderOutput_24.Value,DecoderOutput_240.Value,DecoderOutput_241.Value,DecoderOutput_242.Value,DecoderOutput_243.Value,DecoderOutput_244.Value,DecoderOutput_245.Value,DecoderOutput_246.Value,DecoderOutput_247.Value,DecoderOutput_248.Value,DecoderOutput_249.Value,DecoderOutput_25.Value,DecoderOutput_250.Value,DecoderOutput_251.Value,DecoderOutput_252.Value,DecoderOutput_253.Value,DecoderOutput_254.Value,DecoderOutput_255.Value,DecoderOutput_26.Value,DecoderOutput_27.Value,DecoderOutput_28.Value,DecoderOutput_29.Value,DecoderOutput_3.Value,DecoderOutput_30.Value,DecoderOutput_31.Value,DecoderOutput_32.Value,DecoderOutput_33.Value,DecoderOutput_34.Value,DecoderOutput_35.Value,DecoderOutput_36.Value,DecoderOutput_37.Value,DecoderOutput_38.Value,DecoderOutput_39.Value,DecoderOutput_4.Value,DecoderOutput_40.Value,DecoderOutput_41.Value,DecoderOutput_42.Value,DecoderOutput_43.Value,DecoderOutput_44.Value,DecoderOutput_45.Value,DecoderOutput_46.Value,DecoderOutput_47.Value,DecoderOutput_48.Value,DecoderOutput_49.Value,DecoderOutput_5.Value,DecoderOutput_50.Value,DecoderOutput_51.Value,DecoderOutput_52.Value,DecoderOutput_53.Value,DecoderOutput_54.Value,DecoderOutput_55.Value,DecoderOutput_56.Value,DecoderOutput_57.Value,DecoderOutput_58.Value,DecoderOutput_59.Value,DecoderOutput_6.Value,DecoderOutput_60.Value,DecoderOutput_61.Value,DecoderOutput_62.Value,DecoderOutput_63.Value,DecoderOutput_64.Value,DecoderOutput_65.Value,DecoderOutput_66.Value,DecoderOutput_67.Value,DecoderOutput_68.Value,DecoderOutput_69.Value,DecoderOutput_7.Value,DecoderOutput_70.Value,DecoderOutput_71.Value,DecoderOutput_72.Value,DecoderOutput_73.Value,DecoderOutput_74.Value,DecoderOutput_75.Value,DecoderOutput_76.Value,DecoderOutput_77.Value,DecoderOutput_78.Value,DecoderOutput_79.Value,DecoderOutput_8.Value,DecoderOutput_80.Value,DecoderOutput_81.Value,DecoderOutput_82.Value,DecoderOutput_83.Value,DecoderOutput_84.Value,DecoderOutput_85.Value,DecoderOutput_86.Value,DecoderOutput_87.Value,DecoderOutput_88.Value,DecoderOutput_89.Value,DecoderOutput_9.Value,DecoderOutput_90.Value,DecoderOutput_91.Value,DecoderOutput_92.Value,DecoderOutput_93.Value,DecoderOutput_94.Value,DecoderOutput_95.Value,DecoderOutput_96.Value,DecoderOutput_97.Value,DecoderOutput_98.Value,DecoderOutput_99.Value
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
